Id,Latitude,Longitude,Bedrooms,Bathrooms,Square footage,Price,Amenities
1,42.325319,-71.1424,2,1,1162,2722,Secure Entrance|Central Air|Picnic Area|Pool|Washer/Dryer|Granite Countertops|Stainless Steel Appliances|Off-Street Parking|Fitness Center|Utilities Included
2,42.400188,-71.123543,0,1,260,948,Central Air|Fitness Center
3,42.390901,-71.15241,3,3,2016,3418,Washer/Dryer|Central Air|Utilities Included
4,42.351352,-71.109718,2,1,1163,2583,Granite Countertops|Utilities Included|Stainless Steel Appliances|Washer/Dryer|Off-Street Parking|Picnic Area|Pool|Fitness Center|Central Air|Dishwasher|Secure Entrance
5,42.383498,-71.130352,2,2,1006,2800,Granite Countertops|Washer/Dryer
6,42.406245,-71.09368,1,1,1039,2141,Central Air|Fitness Center|Utilities Included|Stainless Steel Appliances|Washer/Dryer|Secure Entrance|Off-Street Parking|Granite Countertops|Dishwasher
7,42.331336,-71.06437,2,1,1716,2575,Fitness Center
8,42.381828,-71.087572,2,2,1521,2659,Fitness Center|Secure Entrance|Utilities Included|Stainless Steel Appliances|Pool|Granite Countertops|Central Air|Washer/Dryer|Dishwasher|Off-Street Parking
9,42.393807,-71.084262,2,1,1504,2417,Central Air|Picnic Area|Granite Countertops|Stainless Steel Appliances
10,42.322515,-71.08827,0,1,548,1035,Secure Entrance|Picnic Area|Off-Street Parking
11,42.359848,-71.135072,1,1,1216,1519,Central Air|Pool|Picnic Area
12,42.325207,-71.090351,1,1,851,1350,Stainless Steel Appliances|Washer/Dryer|Dishwasher|Secure Entrance|Central Air
13,42.358593,-71.112251,3,3,2024,3552,Dishwasher
14,42.328685,-71.070326,2,1,1278,2333,Central Air|Stainless Steel Appliances|Granite Countertops|Utilities Included
15,42.346526,-71.062588,4,2,2774,3822,Pool|Central Air|Picnic Area|Fitness Center
16,42.325596,-71.104317,4,1,2249,4319,Secure Entrance|Granite Countertops|Utilities Included|Central Air|Picnic Area|Off-Street Parking|Fitness Center|Dishwasher|Stainless Steel Appliances
17,42.343011,-71.079141,4,1,2706,3710,Dishwasher|Stainless Steel Appliances|Central Air|Utilities Included|Washer/Dryer|Picnic Area|Secure Entrance|Pool|Granite Countertops
18,42.348196,-71.145972,1,1,859,1995,Off-Street Parking|Utilities Included|Dishwasher|Central Air|Picnic Area|Fitness Center|Pool|Granite Countertops|Secure Entrance|Stainless Steel Appliances|Washer/Dryer
19,42.355464,-71.054234,0,1,457,927,Utilities Included|Fitness Center
20,42.381384,-71.070698,0,1,397,1005,Stainless Steel Appliances|Pool|Secure Entrance|Granite Countertops|Picnic Area|Off-Street Parking|Dishwasher
21,42.354026,-71.075243,2,2,1442,3091,Secure Entrance|Off-Street Parking|Dishwasher|Picnic Area|Pool|Stainless Steel Appliances|Central Air
22,42.397197,-71.1447,3,3,2161,3200,Secure Entrance|Central Air|Washer/Dryer|Granite Countertops|Picnic Area
23,42.317827,-71.07134,0,1,273,999,Dishwasher|Off-Street Parking|Fitness Center|Stainless Steel Appliances|Central Air|Picnic Area|Utilities Included|Pool
24,42.330942,-71.118034,1,1,1048,1534,Stainless Steel Appliances
25,42.410778,-71.085357,3,1,2008,3271,Granite Countertops|Utilities Included|Central Air|Picnic Area|Dishwasher|Fitness Center|Secure Entrance|Washer/Dryer|Off-Street Parking|Pool|Stainless Steel Appliances
26,42.377255,-71.081245,3,2,1866,3432,Picnic Area|Fitness Center|Central Air|Secure Entrance|Washer/Dryer|Dishwasher|Granite Countertops|Off-Street Parking|Stainless Steel Appliances|Pool
27,42.411174,-71.096177,0,1,553,1019,Dishwasher|Pool
28,42.409224,-71.115412,1,1,994,1847,Pool|Secure Entrance|Fitness Center|Central Air|Off-Street Parking|Dishwasher|Utilities Included
29,42.393124,-71.146982,4,2,2277,4067,Utilities Included|Fitness Center|Stainless Steel Appliances|Dishwasher|Washer/Dryer|Granite Countertops|Pool|Picnic Area|Central Air|Off-Street Parking
30,42.395606,-71.084634,1,1,1031,1899,Off-Street Parking|Utilities Included|Granite Countertops|Picnic Area|Fitness Center|Pool|Dishwasher|Stainless Steel Appliances|Washer/Dryer|Secure Entrance|Central Air
31,42.396266,-71.07087,1,1,872,1936,Off-Street Parking|Utilities Included|Central Air|Picnic Area|Stainless Steel Appliances|Pool|Dishwasher|Granite Countertops|Fitness Center|Secure Entrance
32,42.397486,-71.060271,4,4,2201,4310,Fitness Center|Picnic Area|Stainless Steel Appliances|Utilities Included|Pool|Dishwasher|Central Air|Secure Entrance
33,42.380922,-71.099553,4,3,2843,3770,Utilities Included|Pool
34,42.372034,-71.0596,0,1,272,853,Central Air|Granite Countertops
35,42.323086,-71.142763,1,1,1127,1885,Dishwasher|Fitness Center
36,42.381756,-71.152786,4,3,2409,3963,Utilities Included|Granite Countertops|Fitness Center|Secure Entrance|Off-Street Parking
37,42.325473,-71.073977,0,1,444,1064,Picnic Area|Secure Entrance|Fitness Center|Central Air|Dishwasher|Washer/Dryer|Off-Street Parking
38,42.354518,-71.055298,1,1,1075,1691,Picnic Area
