,affilID,affiliation
0,1,"DISP, Univ  of Rome, Rome, Italy"
1,2,"LSTS   ENIT, Tunis, Tunisia"
2,3,"INRIA, Univ  des Sci  et Technol  de Lille, Villeneuve d Ascq, France"
3,4,"Sch  of Comput  Sci , Univ  of Adelaide, Adelaide, SA, Australia"
4,5,"Software Group, IBM, Raleigh, NC, United States"
5,6,"Comput  Syst  Dept , UCLM, Albacete, Spain"
6,7,"Dept  of Comput  Sci , Univ  of Aarhus, Arhus, Denmark"
7,8,"Dipt  Estadi stica, Comput  Univ  de La Laguna, La Laguna, Spain"
8,9,"Comput  Sci  Dept , Pontifical Catholic Univ , Rio de Janeiro, Brazil"
9,10,"Comput  Languages   Syst  II Dept , Rey Juan Carlos Univ , Mostoles, Spain"
10,11,"Dept  of Comput  Sci , VU Univ  Amsterdam, Amsterdam, Netherlands"
11,12,"Div  de Sist  e Ing  Electron   DSIE , Univ  Politec  de Cartagena, Cartagena, Spain"
12,13,"Dept  of Comput  Sci , Univ  of Leicester, Leicester, United Kingdom"
13,14,"Dept  of Autom  Control   Syst  Eng , Univ  of the Basque Country, Bilbao, Spain"
14,15,"Dept  of Inf  Syst    Comput , Polytech  Univ  of Valencia, Valencia, Spain"
15,16,"Dept  of Inf  Syst    Comput , Tech  Univ  of Valencia, Valencia, Spain"
16,17,"Dept  for Appl  Telematics   e Bus , Univ  of Leipzig, Leipzig, Germany"
17,18,"Sch  of Comput  Sci , Carnegie Mellon Univ , Pittsburgh, PA, United States"
18,19,"Depto  de Inf , Univ  de Valladolid, Valladolid, Spain"
19,20,"Dept  of Math    Comput  Sci , Univ  of Groningen, Groningen, Netherlands"
20,21,"Dept  of Comput  Sci , Univ  of Malaga, Malaga, Spain"
21,22,None
22,23,"Computer Science Department, PUC, Rio, Brazil  2  Computing Department, Lancaster University, United Kingdom"
23,24,"University of Sfax, Research Unit ReDCAD, B P  W 3038, Sfax, Tunisia  2  LAAS CNRS, 7 avenue de Colonel Roche, 31007 Toulouse Cedex 4, France"
24,25,"Department of Computer Science, University of M laga, Campus de Teatinos, 29071  M laga, Spain  2  Dept  of Computer Science, University of Extremadura, Avda  de la Universidad s n, 10071  C ceres, Spain"
25,26,"Department of Computer Science, VU University Amsterdam, Netherlands"
26,27,"Warsaw University of Technology, Institute of Automatic Control and Computational Engineering, Warsaw, Poland"
27,28,"LIFL, INRIA Team ADAM, Universit  des Sciences et Technologies de Lille, 59655 Villeneuve d Ascq, France"
28,29,"Division of Electronics Engineering and Systems  DSIE , Universidad Polit cnica de Cartagena, Campus Muralla del Mar s n, 30202 Cartagena, Murcia, Spain"
29,30,"School of Computer Science, University of Adelaide, Adelaide, SA 5005, Australia  2  Department of Computer Science, University of St Andrews, St Andrews, Fife KY16 9SX, United Kingdom"
30,31,"Department of Computer Science, Universidad Rey Juan Carlos, c  Tulip n s n, 28933, Madrid, Spain  2  Department of Engineering of Telematic Systems, ETSI Telecomunicaci n, Ciudad Universitaria s n, 28040, Madrid, Spain"
31,32,"University of Rome Tor Vergata, DISP, Rome, Italy  2  University of British Columbia, ECE, Vancouver, Canada"
32,33,"GRINBD, Depto  de Inform tica, Universidad de Valladolid, 47011 Valladolid, Spain  2  Kybele, Depto  Lenguajes y Sistemas Inform ticos II, E T S  de Ingenier a Inform tica, Universidad Rey Juan Carlos, 28933 M stoles, Madrid, Spain"
33,34,"Alma Mater Studiorum, Universit  di Bologna, Italy  2  Lancaster University, United Kingdom  3  UFBA   Universidade Federal de Bahia, Brazil  4  UFRN   Universidade Federal do Rio Grande do Norte, Brazil"
34,35,"Department of Industrial Electronics, University of Minho, Campus de Azur m, 4800 058 Guimar es, Portugal"
35,36,"Department of Mathematics and Computing Science, University of Groningen, Groningen, Netherlands"
36,37,"Department of Computer Science, University of Leicester, University Road, Leicester, LEI 7RH, United Kingdom  2  ATX Software, Rua Saraiva de Carvalho 207C, 1350 300 Lisboa, Portugal  3  Computer Science Department, Cairo University, Egypt"
37,38,"Dublin City University, School of Computing, Dublin 9, Ireland  2  University of Oldenburg, Software Engineering Group, D 26111 Oldenburg, Germany"
38,39,"Dpto  Lenguajes y Ciencias de la Computaci n, University of M laga, Spain"
39,40,"Department of Computer Science, University of Aarhus,  bogade 34, 8200  rhus N , Denmark"
40,41,"Automatic Control and Systems Engineering Department, University of the Basque Country, Alda Urquijo s n, 48013, Bilbao, Spain"
41,42,"Computing Systems Department, UCLM, Albacete, Spain  2  Department of Information Systems and Computation, UPV, Valencia, Spain"
42,43,"LSTS   ENIT, BP 37, Le Belvedere 1002 Tunis, Tunisia  2  CEDRIC   CNAM, 292, Rue Saint Martin, Paris 75003, France"
43,44,"School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA 15213, United States"
44,45,"Dpto  Estad stica, I O  y Computaci n Universidad de La Laguna, Spain"
45,46,"Department of Applied Telematics   e Business, University of Leipzig, Germany"
46,47,"Quercus Software Engineering Group, Department of Computer Science, University of Extremadura, Spain"
47,48,"Facultad de Ciencias de la Computaci n, Benem rita Universidad Aut noma de Puebla, Ciudad Universitaria, 14 sur y avenida San Claudio, San Manuel, 72570 Puebla, Mexico  2  Departamento de Lenguajes y Sistemas Inform ticos, E T S I  Inform tica y de Telecomunicaci n, Universidad de Granada, C  Periodista Saucedo Aranda, s n, 18071 Granada, Spain"
