,paperID,authorName
0,1,"Lopez Herrejon, Roberto E"
1,1," Egyed, Alexander"
2,2,"Perovich, Daniel"
3,2,"Rossel, Pedro O"
4,2," Bastarrica, Mar a Cecilia"
5,3,"Perovich, Daniel"
6,3,"Rossel, Pedro O"
7,3," Bastarrica, Mar a Cecilia"
8,4,"Perovich, Daniel"
9,4,"Rossel, Pedro O"
10,4," Bastarrica, Mar a Cecilia"
11,5,"Wang, Rongfang"
12,5," Wang, Hui"
13,5," Wei, Bangxing"
14,5," Wang, Wei"
15,5," Lei, Ziqiang"
16,6,"Hilliard, Rich"
17,6,"Malavolta, Ivano"
18,6,"Muccini, Henry"
19,6,"Pelliccione, Patrizio"
20,7,"Hilliard, Rich"
21,7,"Malavolta, Ivano"
22,7,"Muccini, Henry"
23,7,"Pelliccione, Patrizio"
24,8,"Bardram, J E"
25,8," Christensen, H B"
26,8," Corry, A V"
27,8," Hansen, K M"
28,8," Ingstrup, M"
29,9,"Cheng, Shang Wen"
30,9,"Huang, An Cheng"
31,9,"Garlan, David"
32,9,"Schmerl, Bradley"
33,9,"Steenkiste, Peter"
34,10,Shang Wen Cheng
35,10,An Cheng Huang
36,10,"Garlan, D"
37,10," Schmerl, B"
38,10," Steenkiste, P"
39,11,"Oliveira, Crist v o"
40,11,"Wermelinger, Michel"
41,12,"Oliveira, C"
42,12," Wermelinger, M"
43,13,"De Graaf, Klaas Andries"
44,13,"Tang, Antony"
45,13,"Liang, Peng"
46,13,"Van Vliet, Hans"
47,14,"De Graaf, Klaas Andries"
48,14,"Tang, Antony"
49,14,"Liang, Peng"
50,14,"Van Vliet, Hans"
51,15,"Demirli, Elif"
52,15,"Tekinerdogan, Bedir"
53,16,"Tekinerdogan, Bedir"
54,16,"S zer, Hasan"
55,17,"Neyerlin, K C"
56,17," Srivastava, Ratndeep"
57,17,"Yu, Chengfei"
58,17,"Strasser, Peter"
59,18,"Taufany, Fadlilatul"
60,18," Pan, Chun Jern"
61,18,"Lai, Feng J"
62,18,"Chou, Hung Lung"
63,18,"Sarma, Loka Subramanyam"
64,18,"Rick, John"
65,18,"Lin, Jhih Min"
66,18,"Lee, Jyh F"
67,18,"Tang, Mau Ts"
68,18,"Hwang, Bing Joe"
69,19,"Mangindaan, D"
70,19, Chao Ting Chen
71,19,Meng Jiy Wang
72,20,"Woods, Eoin"
73,20,"Rozanski, Nick"
74,21,"Chen, Wei Min"
75,21," Sun, Gong Quan"
76,21," Zhao, Xin Sheng"
77,21," Sun, Pi Chang"
78,21," Yang, Shao Hua"
79,21," Xin, Qin"
80,22,"Chen, Wei Min"
81,22," Sun, Gong Quan"
82,22," Zhao, Xin Sheng"
83,22," Sun, Pi Chang"
84,22," Yang, Shao Hua"
85,22," Xin, Qin"
86,23,Source
87,23, Working IEEE IFIP Conference on Software Architecture
88,23,WICSA
89,23, ISBN
90,23,Conference
91,23, Working IEEE IFIP Conference on Software Architecture
92,23,WICSA
93,23, Jan
94,23,Publisher
95,23,"IEEE, Piscataway, NJ, USA"
96,24,"Schefer Wenzl, Sigrid"
97,24,"Feiertag, Katharina"
98,25,"Dagtas, Serhan"
99,25," Natchetoi, Yuri"
100,25,"Wu, Huaig"
101,25,"Hamdi, Louenas"
102,26,"Saha, S"
103,26," Basak, V"
104,26," Dasgupta, A"
105,26," Ganguly, S"
106,26," Banerjee, D"
107,26," Kargupta, K"
108,27,"Bosloper, Ivor"
109,27,"Siljee, Johanneke"
110,27,"Nijhuis, Jos"
111,28,"Diaz Pace, J"
112,28,Andres
113,28,"Carlino, Juan P"
114,28," Blech, Martin"
115,28,"Soria, Alvaro"
116,28,"Campo, Marcelo R"
117,29,"Diaz Pace, J"
118,29,Andres
119,29,"Carlino, Juan P"
120,29," Blech, Martin"
121,29,"Soria, Alvaro"
122,29,"Campo, Marcelo R"
123,30,"Diaz Pace, J"
124,30,Andres
125,30,"Carlino, Juan P"
126,30," Blech, Martin"
127,30,"Soria, Alvaro"
128,30,"Campo, Marcelo R"
129,31,"Hamel, Lazhar"
130,31,"Graiet, Mohamed"
131,31,"Kmimech, Mourad"
132,31,"Bhiri, Mohamed Tahar"
133,31,"Gaaloul, Walid"
134,32,"Spalazzese, Romina"
135,32,"Inverardi, Paola"
136,33,"Poort, Eltjo R"
137,33," De With, Peter H N"
138,34,"Poort, E R"
139,34," de With, P H N"
140,35,"Poort, Eltjo R"
