,authorID,AuthorName
0,1,Kolb  Ronny
1,2,Von Massow  Robert
2,3,Smiley  Karen
3,4,Prakash  Jai
4,5,Zhang  Hongye
5,6,Dauvin  Jean Claude
6,7,Elie  Pierre
7,8,Westermann  Dennis
8,9,G kaga
9,10,Gonzalez  J L
10,11,Porres  Ivan
11,12,Dos Santos  Rodrigo Pereira
12,13,Kamel  Mohamed S
13,14,Grunske  L
14,15,Pramsohler  Thomas
15,16,Gaaloul  Walid
16,17,Fro mmgen  A
17,18,Sauer  J
18,19,D az  Jessica
19,20,Lee  Jyh Fu
20,21,Strasser  Peter
21,22,Konersmann  Marco
22,23,Babar  M A
23,24,Reddy  S
24,25,Pl il  Frantiek
25,26,Naohara  H
26,27,Wang  Suli
27,28,Schill  Alexander
28,29,Milrad  Marcelo
29,30,Franco  Jo o M
30,31,Fuentes  L
31,32,Park  Jun Young
32,33,Farenhorst  Rik
33,34,Scandariato  Riccardo
34,35,Batista  T
35,36,Kallioniemi  Olli
36,37,Anselmi  Jonatha
37,38,Mak  Rudolf H
38,39,Ali Shah  Syed M
39,40,Adriaanse  Hans
40,41,K nemann  Patrick
41,42,Cabot  Pere Llu s
42,43,Corry  A V
43,44,Khan  Taimur
44,45,Xin  Qin
45,46,Panzica La Manna  Valerio
46,47,Anvaari  Mohsen
47,48,Merson  P
48,49,Ghezzi  C
49,50,Bessler  Sandford
50,51,Malardalen University
51,52,Papamargaritis  G
52,53,Gates  Byron D
53,54,Ammar  Nariman
54,55,Hinz  M
55,56,Huemer  Christian
56,57,De Sanctis  Martina
57,58,Javed  Muhammad Atif
58,59,Serebrenik  Alexander
59,60,Garbajosa  Juan
60,61,Plouzeau  Noel
61,62,Santos  A
62,63,Heger  Christoph
63,64,Liu  Jie
64,65,Barkaoui  K
65,66,Prinz  Andreas
66,67,Holtmann  J rg
67,68,Giesecke  Simon
68,69,Shen  P K
69,70,Schafer  C
70,71,Losilla  F
71,72,Stenudd  Sakari
72,73,Jerad  C
73,74,Snowdon  B
74,75,Li  Yongjia
75,76,Sahraoui  Houari
76,77,Zhang  Jing
77,78,Ribeiro  Rita
78,79,Lee  Hyunjoo
79,80,Frischbier  S
80,81,Basak  V
81,82,Monteith  J
82,83,Oriat  C
83,84,Kim  Yong Tae
84,85,Martens  Anne
85,86,Liang  C
86,87,Beaumais  Olivier
87,88,Andr s
88,89,Pahl  C
89,90,Lee  Dongman
90,91,Reeler  Nini E A
91,92,Guo  Shaojun
92,93,Uchida  Hiroyuki
93,94,Seriai  Abdelhak Djamel
94,95,Zimmermann  O
95,96,Tarvainen  Pentti
96,97,Appel  Stefan
97,98,Caracciolo  Andrea
98,99,Truyen  Eddy
99,100,Du  Xintong
100,101,Wang  Jian
101,102,Wentzlaff  I
102,103,Mak  Rudolf
103,104,Astudillo  H
104,105,Nel  W P
105,106,Yao  Xin
106,107,Nierstrasz  O
107,108,Canal  Carlos
108,109,Devesh  D
109,110,Berardinelli  Luca
110,111,Pelliccione  P
111,112,Antonio C
112,113,Jansen  Slinger
113,114,Doppelhamer  Jens
114,115,June
115,116,Manhat  Beth A
116,117,Bhagavathi Parambhath  Vinayan
117,118,Kang  Long
118,119,Monge  Raul
119,120,Yong Man Choi
120,121,Le  Meur  Anne Francoise
121,122,Hepner  M
122,123,Zhang  Dehua
123,124,Matos  C M P
124,125,van der Ven  J
125,126,Villalobos  Jorge
126,127,Wu  Huaigu
127,128,Schreiber  Christian
128,129,Hu  W B
129,130,Han  Jun
130,131,Hasselbring  W
131,132,Pietrasz  P
132,133,V
133,134,Brown  Alan W
134,135,Mathew  Reena
135,136,Braude  Eric J
136,137,Camara  J
137,138,Sen  Selda
138,139,Lung  Chung Horng
139,140,van Deursen  A
140,141,John  Jose
141,142,Yen  Shiow Kang
142,143,Na  D H
143,144,Lu  Wangting
144,145,Lungu  Mircea Filip
145,146,Wang  Guanxiong
146,147,Philippow  Ilka
147,148,IEEE Computer Society  Los Alamitos  CA  USA
148,149,Schmidt  T J
149,150,Nyyss nen  Aki
150,151,Vattani  Charlie
151,152,Hamdi  Louenas
152,153,Tang  Antony
153,154,Bianco  Vittorio Dal
154,155,Hrischuk  Curtis
155,156,Software Architecture
156,157,Chauhan  Muhammad Aufeef
157,158,Wong  Sunny
158,159,Dillet  J
159,160,Ren  Ren
160,161,Bromberg  Y rom David
161,162,D saunay  Y
162,163,Lehnert  S
163,164,Bosloper  Ivor
164,165,Werewka  Jan
165,166,Yongrui Xu
166,167,A
167,168,Hilliard  Rich
168,169,Van Den Broek  Pim
169,170,Matthes  Florian
170,171,Bastarrica  Mar a Cecilia
171,172,Sohul  Munawwar M
172,173,Nicholson  Ann
173,174,Van Landuyt  Dimitri
174,175,Wu  Jianbo
175,176,An Cheng Huang
176,177,Olson  T
177,178,Cleve  Anthony
178,179,Lucr dio  Daniel
179,180,Marcelo  C
180,181,Riebisch  Matthias
181,182,Tomi
182,183,Eric
183,184,Moonen  L
184,185,Pereira  Alessandro Costa
185,186,Su  Jincang
186,187,Zhou  Terry G
187,188,Karri  Srinivasarao
188,189,Tivoli  Massimo
189,190,Bender  G
190,191,Mili  A
191,192,Ovaska  Eila
192,193,Bastarrica  Maria Cecilia
193,194,Borup  R L
194,195,Huanhuan Xiong
195,196,Bhattacharya  Sutirtha
196,197,Hurst  K
197,198,Winkler  Dietmar
198,199,Biao Kong
199,200,Michiels  Sam
200,201,Yang  Shao Hua
201,202,Matinlassi  Mari
202,203,Franch  Xavier
203,204,Gu  Baoshan
204,205,Frischbier  Sebastian
205,206,Mansor  N
206,207,Ivers  James
207,208,Engels  Gregor
208,209,Jansen  S
209,210,Lilienthal  C
210,211,Nijhuis  Jos
