,paperID,abstract,title,terms,authors,affiliation,pubYear,confName
0,1,"A Software Product Line  SPL  is a family of related software systems distinguished by the different sets of features each system provides  Over the last decade, the substantial benefits of SPL practices have been extensively documented and corroborated both in academia and industry  Several architecture methods have been proposed that employ different artifacts for expressing the components of a SPL, their properties and relationships  Of crucial importance for any SPL architecture method is to guarantee that the variability, for instance as expressed in feature models, is not only preserved but also kept consistent across all artifacts used  In this research challenge paper we argue that Safe Composition   the guarantee that all programs of a product line are type safe   can be leveraged to address this guarantee for structural properties of SPL architectures and the challenges that that entails    2010 Springer Verlag Berlin Heidelberg   29 refs",On the need of safe software product line architectures,"['Software design', 'Structural properties', 'Feature models', 'Product-lines', 'Research challenges', 'Software product line architecture', 'Software product lines', 'Software systems', 'Structural Design', 'Computer Programming', 'Materials Science']","['Lopez Herrejon, Roberto E', '', '', ' Egyed, Alexander']","Institute for Systems Engineering and Automation, Johannes Kepler University Linz, Austria",2010,ECSA
1,2,"A Software Product Line  SPL  is a portfolio of products that targets a particular domain  Feature Models are generally used for modeling domain knowledge including variability within SPLs  The Product Line Architecture  PLA  defines the structure that all potential products in the SPL share  Designing a good PLA is challenging since different products may require different characteristics, and it is difficult to achieve an acceptable trade off  In this paper we apply Model Driven Engineering techniques for systematizing the Domain Engineering stage to enable the automation of the Application Engineering stage  We use features to modularize architectural decisions and we encode them as model transformations that render the fragment of the product architecture that addresses the features  Then, we make the rationale explicit, and we enhance evolvability and incrementality diminishing design complexity  Product implementation is derived by means of generators analogously  We show our approach by developing a Meshing Tool SPL    2009 IEEE   29 refs",Feature model to product architectures  Applying MDE to software product lines,"['Architecture', 'Computer software', 'Network architecture', 'Software design', 'Application engineering', 'Architectural decision', 'Design complexity', 'Domain engineering', 'Domain knowledge', 'Evolvability', 'Feature models', 'Meshing tools', 'Model transformation', 'Model-driven Engineering', 'Product architecture', 'Product line architecture', 'Software Product Line', 'Software product lines', 'Buildings and Towers', 'Computer Systems and Equipment', 'Computer Software, Data Handling and Applications', 'Computer Programming', 'Computer Applications']","['Perovich, Daniel', '', '', 'Rossel, Pedro O', '', ',', '', ' Bastarrica, Mar a Cecilia']","CS Department, Universidad de Chile, Santiago, Chile  2  Dept  Ingenier a Inform tica, Univ  Cat lica de la Sant sima Concepci n, Concepci n, Chile",2009,ECSA
2,3,"A Software Product Line  SPL  is a portfolio of products that targets a particular domain  Feature Models are generally used for modeling domain knowledge including variability within SPLs  The Product Line Architecture  PLA  defines the structure that all potential products in the SPL share  Designing a good PLA is challenging since different products may require different characteristics, and it is difficult to achieve an acceptable trade off  In this paper we apply Model Driven Engineering techniques for systematizing the Domain Engineering stage to enable the automation of the Application Engineering stage  We use features to modularize architectural decisions and we encode them as model transformations that render the fragment of the product architecture that addresses the features  Then, we make the rationale explicit, and we enhance evolvability and incrementality diminishing design complexity  Product implementation is derived by means of generators analogously  We show our approach by developing a Meshing Tool SPL    2009 IEEE   29 refs",Feature model to product architectures  Applying MDE to software product lines,"['Architecture', 'Computer software', 'Network architecture', 'Software design', 'Application engineering', 'Architectural decision', 'Design complexity', 'Domain engineering', 'Domain knowledge', 'Evolvability', 'Feature models', 'Meshing tools', 'Model transformation', 'Model-driven Engineering', 'Product architecture', 'Product line architecture', 'Software Product Line', 'Software product lines', 'Buildings and Towers', 'Computer Systems and Equipment', 'Computer Software, Data Handling and Applications', 'Computer Programming', 'Computer Applications']","['Perovich, Daniel', '', '', 'Rossel, Pedro O', '', ',', '', ' Bastarrica, Mar a Cecilia']","CS Department, Universidad de Chile, Santiago, Chile  2  Dept  Ingenier a Inform tica, Univ  Cat lica de la Sant sima Concepci n, Concepci n, Chile",2009,WICSA
3,4,"A Software Product Line  SPL  is a portfolio of products that targets a particular domain  Feature Models are generally used for modeling domain knowledge including variability within SPLs  The Product Line Architecture  PLA  defines the structure that all potential products in the SPL share  Designing a good PLA is challenging since different products may require different characteristics, and it is difficult to achieve an acceptable trade off  In this paper we apply Model Driven Engineering techniques for systematizing the Domain Engineering stage to enable the automation of the Application Engineering stage  We use features to modularize architectural decisions and we encode them as model transformations that render the fragment of the product architecture that addresses the features  Then, we make the rationale explicit, and we enhance evolvability and incrementality diminishing design complexity  Product implementation is derived by means of generators analogously  We show our approach by developing a Meshing Tool SPL    2009 IEEE   29 refs",Feature model to product architectures  Applying MDE to software product lines,"['Architecture', 'Computer software', 'Network architecture', 'Software design', 'Application engineering', 'Architectural decision', 'Design complexity', 'Domain engineering', 'Domain knowledge', 'Evolvability', 'Feature models', 'Meshing tools', 'Model transformation', 'Model-driven Engineering', 'Product architecture', 'Product line architecture', 'Software Product Line', 'Software product lines', 'Buildings and Towers', 'Computer Systems and Equipment', 'Computer Software, Data Handling and Applications', 'Computer Programming', 'Computer Applications']","['Perovich, Daniel', '', '', 'Rossel, Pedro O', '', ',', '', ' Bastarrica, Mar a Cecilia']","CS Department, Universidad de Chile, Santiago, Chile  2  Dept  Ingenier a Inform tica, Univ  Cat lica de la Sant sima Concepci n, Concepci n, Chile",2011,WICSA
4,5,"A catalyst for anode oxidation of methanol, carbon supported pseudo core shell PdCo Pt particles with Pt shell is prepared via a two step procedure, which consists of an organic colloid method and a surface replacement reaction step  Transmission electron microscopy  TEM  and X ray diffraction  XRD  are used for the catalysts characterization  The electrochemical surface areas  ECSA  are 6 and 4 times as large as those of Pt C and PtRu C catalysts, respectively  Furthermore, based on the Pt mass, the cyclic voltammetry  CV  and chronoamperometry results demonstrate that the electrocatalytic activity and stability of the PdCo Pt C catalyst for methanol oxidation are much higher than those of the Pt C and PtRu C catalysts  The PdCo Pt C catalyst is better utilization of Pt than pure Pt and Pt based alloy catalysts    2010 Professor T  Nejat Veziroglu  Published by Elsevier Ltd  All rights reserved   34 refs",Carbon supported Pt shell modified PdCo core with electrocatalyst for methanol oxidation,"['Cerium alloys', 'Chronoamperometry', 'Cyclic voltammetry', 'Electrocatalysts', 'Fuel cells', 'Methanol', 'Nanoparticles', 'Oxidation', 'Platinum', 'Substitution reactions', 'Surface reactions', 'Transmission electron microscopy', 'X ray diffraction', 'Alloy catalyst', 'Anode oxidation', 'Core-shell', 'Electrocatalytic activity and stability', 'Electrochemical surface area', 'Methanol oxidation', 'Organic colloids', 'Pt particle', 'Pt/C catalysts', 'PtRu/C catalysts', 'Replacement reactions', 'Supported Pt', 'TEM', 'Two-step procedure', 'Crystal Lattice', 'Solid State Physics', 'Organic Compounds', 'Chemical Reactions', 'Electrochemistry', 'Nanotechnology', 'Optical Devices and Systems', 'Electric and Magnetic Materials', 'Fuel Cells', 'Rare Earth Metals', 'Precious Metals']","['Wang, Rongfang', ' ,', '', ' Wang, Hui', ' ,', '', ' Wei, Bangxing', ' ,', '', ' Wang, Wei', ' ,', '', ' Lei, Ziqiang', ' ,', '']","Key Laboratory of Eco Environment Related Polymer Materials, Ministry of Education, China  2  Key Laboratory of Gansu Polymer Materials, College of Chemistry and Chemical Engineering, Northwest Normal University, Anning East Road 967, Lanzhou, Gansu 730070, China",2010,ECSA
5,6,"A central aspect of architecting is architecture description  Architecture descriptions take many forms and serve many purposes throughout the life cycle of development, operation and maintenance activities  The use of multiple views   diverse representations for distinct audiences and uses   has been a major tenet of architecture description since the earliest work in software architecture  This tenet has been codified in various ways  Most practising software architects must operate within the confines of a prescribed architecture framework  AF  or architecture description language  ADL  as dictated by their organization or client  Current AFs and ADLs are defined with varying degrees of rigour and offer varying levels of tool support, furthermore, these resources are often closed, making it difficult for the architect to tailor a representational solution to the specific challenges of the project at hand  In this paper we propose an automated infrastructure to support the architecture description related activities of the architect  This infrastructure facilitates customization, composition and reuse of the architect s representational resources  AFs, ADLs and their constituents  to meet project , domain  and organization specific needs  The proposed approach builds upon the conceptual foundations of ISO IEC IEEE 42010 for architecture description  The approach has been evaluated in the context of a complex, real world, public transportation system    2012 IEEE   32 refs",On the composition and reuse of viewpoints across architecture frameworks,"['Architecture description languages', 'Architecture frameworks', 'megamodelling', 'Model-driven Engineering', 'viewpoints', 'Computer Programming']","['Hilliard, Rich', '', '', 'Malavolta, Ivano', '', '', 'Muccini, Henry', '', '', 'Pelliccione, Patrizio']","Dipartimento di Informatica, Universit  dell Aquila, Italy",2012,ECSA
6,7,"A central aspect of architecting is architecture description  Architecture descriptions take many forms and serve many purposes throughout the life cycle of development, operation and maintenance activities  The use of multiple views   diverse representations for distinct audiences and uses   has been a major tenet of architecture description since the earliest work in software architecture  This tenet has been codified in various ways  Most practising software architects must operate within the confines of a prescribed architecture framework  AF  or architecture description language  ADL  as dictated by their organization or client  Current AFs and ADLs are defined with varying degrees of rigour and offer varying levels of tool support, furthermore, these resources are often closed, making it difficult for the architect to tailor a representational solution to the specific challenges of the project at hand  In this paper we propose an automated infrastructure to support the architecture description related activities of the architect  This infrastructure facilitates customization, composition and reuse of the architect s representational resources  AFs, ADLs and their constituents  to meet project , domain  and organization specific needs  The proposed approach builds upon the conceptual foundations of ISO IEC IEEE 42010 for architecture description  The approach has been evaluated in the context of a complex, real world, public transportation system    2012 IEEE   32 refs",On the composition and reuse of viewpoints across architecture frameworks,"['Architecture description languages', 'Architecture frameworks', 'megamodelling', 'Model-driven Engineering', 'viewpoints', 'Computer Programming']","['Hilliard, Rich', '', '', 'Malavolta, Ivano', '', '', 'Muccini, Henry', '', '', 'Pelliccione, Patrizio']","Dipartimento di Informatica, Universit  dell Aquila, Italy",2012,WICSA
7,8,"A central tenet of software architecture design is to base this on a formulation of desired quality attributes, such as buildability, performance, and availability of the target system  Thus there is a need for architectural evaluation   ensuring the architecture s support for desired quality attributes   and a variety of evaluation techniques have been developed, described, and used  Architectural prototyping is an experimental approach that creates executable  skeleton  systems to investigate architectural qualities of a future system  Architectural prototyping is a learning vehicle for exploring an architectural design space as well as an evaluation technique  The contribution of this paper is to explore the evaluation aspect of architectural prototypes from an analytical standpoint  We present an analysis and discussion of architectural prototyping in the context of two well established quality frameworks  Our analysis concludes that architectural prototyping is a viable evaluation technique that may evaluate architectural quality attributes and especially valuable in cases where the balance between opposing qualities must be assessed   29 refs",Exploring quality attributes using architectural prototyping,"['software architecture', 'software prototyping', 'software quality', 'software quality attribute', 'software architectural prototyping', 'software architecture design', 'software architectural evaluation', 'Software engineering techniques']","['Bardram, J E', '', '', ' Christensen, H B', '', '', ' Corry, A V', '', '', ' Hansen, K M', '', '', ' Ingstrup, M', '', '']","Dept  of Comput  Sci , Aarhus Univ , Aarhus, Denmark",2005,QoSA
8,9,"A common approach to adding self management capabilities to a system is to provide one or more external control modules, whose responsibility is to monitor system behavior, and adapt the system at run time to achieve various goals  configure the system, improve performance, recover from faults, etc    An important problem arises when there is more than one such self management module  how can one make sure that they are composed to provide consistent and complementary benefits  In this paper we describe a solution that introduces a self management coordination architecture and infrastructure to support such composition  We focus on the problem of coordinating self configuring and self healing capabilities, particularly with respect to global configuration and incremental repair  We illustrate the approach in the context of a self managing video teleconference system that composes two pre existing adaptation modules to achieve synergistic benefits of both   28 refs",An architecture for coordinating multiple self management systems,"['Computer architecture', 'Decision making', 'Network protocols', 'Problem solving', 'Security of data', 'Synchronization', 'Video conferencing', 'Monitor systems', 'Self-healing', 'Self-managing systems', 'Self-protecting', 'Management', 'Control Systems', 'Artificial Intelligence', 'Data Processing and Image Processing', 'Computer Programming', 'Computer Systems and Equipment', 'Television Systems and Equipment']","['Cheng, Shang Wen', '', '', 'Huang, An Cheng', '', '', 'Garlan, David', '', '', 'Schmerl, Bradley', '', '', 'Steenkiste, Peter']","School of Computer Science, Carnegie Mellon University",2004,WICSA
9,10,"A common approach to adding self management capabilities to a system is to provide one or more external control modules, whose responsibility is to monitor system behavior, and adapt the system at run time to achieve various goals  configure the system, improve performance, recover from faults, etc    An important problem arises when there is more than one such self management module  how can one make sure that they are composed to provide consistent and complementary benefits  In this paper we describe a solution that introduces a self management coordination architecture and infrastructure to support such composition  We focus on the problem of coordinating self configuring and self healing capabilities, particularly with respect to global configuration and incremental repair  We illustrate the approach in the context of a self managing video teleconference system that composes two preexisting adaptation modules to achieve synergistic benefits of both   28 refs",An architecture for coordinating multiple self management systems,"['software architecture', 'software fault tolerance', 'software maintenance', 'teleconferencing', 'multiple self-management system coordination', 'external control modules', 'system behavior monitoring', 'self-managing video teleconference system', 'software architecture', 'self-management systems coordination', 'self-configuration system', 'self-healing system', 'global configuration', 'incremental repair', 'Software engineering techniques', 'Communications computing']","['Shang Wen Cheng', '', '', 'An Cheng Huang', '', '', 'Garlan, D', '', '', ' Schmerl, B', '', '', ' Steenkiste, P', '', '']","Sch  of Comput  Sci , Carnegie Mellon Univ , Pittsburgh, PA, United States",2004,WICSA
