,paperID,affilID
0,1,250
1,2,146
2,3,146
3,4,146
4,5,202
5,6,444
6,7,444
7,8,215
8,37,215
9,540,215
10,571,215
11,1480,215
12,9,926
13,10,18
14,783,18
15,784,18
16,11,1034
17,12,13
18,510,13
19,511,13
20,13,454
21,14,454
22,15,335
23,16,341
24,17,149
25,970,149
26,18,516
27,19,397
28,20,984
29,21,22
30,22,22
31,23,22
32,383,22
33,523,22
34,662,22
35,663,22
36,664,22
37,665,22
38,666,22
39,667,22
40,668,22
41,669,22
42,670,22
43,671,22
44,672,22
45,673,22
46,674,22
47,675,22
48,676,22
49,677,22
50,678,22
51,679,22
52,680,22
53,681,22
54,682,22
55,683,22
56,684,22
57,685,22
58,686,22
59,687,22
60,688,22
61,741,22
62,977,22
63,979,22
64,980,22
65,981,22
66,983,22
67,986,22
68,987,22
69,988,22
70,1033,22
71,1099,22
72,1100,22
73,1101,22
74,1102,22
75,1103,22
76,1104,22
77,1105,22
78,1106,22
79,1107,22
80,1108,22
81,1109,22
82,1165,22
83,1175,22
84,1176,22
85,1177,22
86,1178,22
87,1179,22
88,1180,22
89,1181,22
90,1182,22
91,1183,22
92,1184,22
93,1185,22
94,1321,22
95,1328,22
96,1331,22
97,1332,22
98,1333,22
99,1334,22
100,1340,22
101,1474,22
102,24,596
103,25,1058
104,26,603
105,27,980
106,28,118
107,29,118
108,30,118
109,31,323
110,32,255
111,33,921
112,34,901
113,35,741
114,36,767
115,38,436
116,39,436
117,40,534
118,41,1015
119,42,1031
120,43,527
121,44,195
122,45,425
123,46,543
124,47,434
125,48,1096
126,49,648
127,50,619
128,51,455
129,585,455
130,586,455
131,52,242
132,53,216
133,54,558
134,55,197
135,56,193
136,57,548
137,58,768
138,59,735
139,60,820
140,61,935
141,62,929
142,63,159
143,64,159
144,65,159
145,66,132
146,67,132
147,68,132
148,69,69
149,70,69
150,71,592
151,72,690
152,73,554
153,74,328
154,75,107
155,76,349
156,77,39
157,78,39
158,1192,39
159,79,87
160,80,87
161,81,402
162,82,485
163,83,421
164,84,1102
165,85,30
166,86,30
167,87,4
168,88,4
169,997,4
170,89,811
171,90,130
172,91,130
173,92,130
174,93,470
175,94,470
176,95,395
177,96,552
178,97,1100
179,98,265
180,99,854
181,100,474
182,101,474
183,102,338
184,103,147
185,104,1045
186,105,746
187,106,327
188,107,101
189,108,1075
190,109,347
191,110,291
192,884,291
193,1140,291
194,1416,291
195,111,1072
196,112,787
197,113,281
198,449,281
199,114,144
200,115,144
201,116,144
202,117,356
203,118,993
204,119,997
205,120,313
206,121,63
207,122,63
208,123,482
209,124,482
210,125,141
211,471,141
212,472,141
213,473,141
214,1007,141
215,1155,141
216,126,201
217,127,331
218,128,1085
219,129,476
220,130,476
221,355,476
222,356,476
223,131,33
224,132,33
225,133,19
226,134,19
227,135,927
228,136,777
229,611,777
230,1002,777
231,1156,777
232,137,268
233,138,836
234,139,370
235,140,370
236,141,1054
237,142,612
238,143,684
239,144,36
