,paperID,keyword
0,1,u'Research challenges'
1,1, u'Software product line architecture'
2,1, u'Materials Science'
3,1, u'Structural properties'
4,1, u'Software product lines'
5,1, u'Software systems'
6,1, u'Software design'
7,1, u'Product-lines'
8,1, u'Computer Programming'
9,1, u'Feature models'
10,1, u'Structural Design'
11,2,u'Model transformation'
12,2, u'Design complexity'
13,2, u'Computer software'
14,2, u'Architectural decision'
15,2, u'Data Handling and Applications'
16,2, u'Product architecture'
17,2, u'Computer Systems and Equipment'
18,2, u'Software product lines'
19,2, u'Computer Programming'
20,2, u'Feature models'
21,2, u'Application engineering'
22,2, u'Computer Software'
23,2, u'Domain knowledge'
24,2, u'Computer Applications'
25,2, u'Buildings and Towers'
26,2, u'Software Product Line'
27,2, u'Architecture'
28,2, u'Model-driven Engineering'
29,2, u'Meshing tools'
30,2, u'Domain engineering'
31,2, u'Software design'
32,2, u'Evolvability'
33,2, u'Product line architecture'
34,2, u'Network architecture'
35,3,u'Model transformation'
36,3, u'Design complexity'
37,3, u'Computer software'
38,3, u'Architectural decision'
39,3, u'Data Handling and Applications'
40,3, u'Product architecture'
41,3, u'Computer Systems and Equipment'
42,3, u'Software product lines'
43,3, u'Computer Programming'
44,3, u'Feature models'
45,3, u'Application engineering'
46,3, u'Computer Software'
47,3, u'Domain knowledge'
48,3, u'Computer Applications'
49,3, u'Buildings and Towers'
50,3, u'Software Product Line'
51,3, u'Architecture'
52,3, u'Model-driven Engineering'
53,3, u'Meshing tools'
54,3, u'Domain engineering'
55,3, u'Software design'
56,3, u'Evolvability'
57,3, u'Product line architecture'
58,3, u'Network architecture'
59,4,u'Model transformation'
60,4, u'Design complexity'
61,4, u'Computer software'
62,4, u'Architectural decision'
63,4, u'Data Handling and Applications'
64,4, u'Product architecture'
65,4, u'Computer Systems and Equipment'
66,4, u'Software product lines'
67,4, u'Computer Programming'
68,4, u'Feature models'
69,4, u'Application engineering'
70,4, u'Computer Software'
71,4, u'Domain knowledge'
72,4, u'Computer Applications'
73,4, u'Buildings and Towers'
74,4, u'Software Product Line'
75,4, u'Architecture'
76,4, u'Model-driven Engineering'
77,4, u'Meshing tools'
78,4, u'Domain engineering'
79,4, u'Software design'
